participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.iteration,player.num_trials,player.num_correct,player.num_failed,player.vote_rules,player.score_task,player.score_total,player.score_task_opp1,player.score_task_opp2,player.sum_group,player.sum_group_third,player.red_amount,player.red_amount_opp1,player.red_amount_opp2,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,dyovjjxl,,1,49,48,postgame_survey,Redirect,2022-10-09 11:26:43.022735,1,,,0.0,1,,0.0,0,0,0,0,1,0,0,1,1,2,0.7,0.7,-0.3,-0.3,1,1,pgbkllbw,,,,,0
2,amm1pjoq,,1,49,48,postgame_survey,Redirect,2022-10-09 11:26:43.070244,1,,,0.0,2,,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,pgbkllbw,,,,,0
3,ajs2s85u,,1,49,48,postgame_survey,Redirect,2022-10-09 11:26:43.093748,1,,,0.0,3,,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,pgbkllbw,,,,,0
4,50bfyzl4,,1,49,48,postgame_survey,Redirect,2022-10-09 11:26:43.114752,1,,,0.0,4,,0.0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,pgbkllbw,,,,,0
5,80ipaor0,,1,49,48,postgame_survey,Redirect,2022-10-09 11:26:43.136756,1,,,0.0,5,,0.0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,pgbkllbw,,,,,0
6,iaxjz9ke,,1,49,48,postgame_survey,Redirect,2022-10-09 11:26:43.154259,1,,,0.0,6,,0.0,0,0,0,0,0,0,0,1,2,3,1.0,0.0,0.0,0.0,1,1,pgbkllbw,,,,,0
7,5ytnkys2,,1,49,48,postgame_survey,Redirect,2022-10-09 11:26:43.169762,1,,,0.0,7,,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,pgbkllbw,,,,,0
8,lm1fwx4m,,1,49,48,postgame_survey,Redirect,2022-10-09 11:26:43.187765,1,,,0.0,8,,0.0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,pgbkllbw,,,,,0
9,6bj7itgw,,1,49,48,postgame_survey,Redirect,2022-10-09 11:26:43.201767,1,,,0.0,9,,0.0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,pgbkllbw,,,,,0
10,ose3qx40,,1,49,48,postgame_survey,Redirect,2022-10-09 11:26:43.216770,1,,,0.0,10,,0.0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,pgbkllbw,,,,,0
11,aokwayy6,,1,49,48,postgame_survey,Redirect,2022-10-09 11:26:43.230773,1,,,0.0,11,,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,pgbkllbw,,,,,0
12,gnxdmnpy,,1,49,48,postgame_survey,Redirect,2022-10-09 11:26:43.244275,1,,,0.0,12,,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,pgbkllbw,,,,,0
13,ixutxzto,,1,49,48,postgame_survey,Redirect,2022-10-09 11:26:43.258778,1,,,0.0,13,,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,pgbkllbw,,,,,0
14,xlub7yuk,,1,49,48,postgame_survey,Redirect,2022-10-09 11:26:43.272281,1,,,0.0,14,,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,pgbkllbw,,,,,0
15,o2mdtg1b,,1,49,48,postgame_survey,Redirect,2022-10-09 11:26:43.286282,1,,,0.0,15,,0.0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,pgbkllbw,,,,,0
16,fm7t5lpl,,1,49,48,postgame_survey,Redirect,2022-10-09 11:26:43.300785,1,,,0.0,16,,0.0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,pgbkllbw,,,,,0
17,tqngg2ac,,1,49,48,postgame_survey,Redirect,2022-10-09 11:26:43.314788,1,,,0.0,17,,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,pgbkllbw,,,,,0
18,3ig3x6ic,,1,49,48,postgame_survey,Redirect,2022-10-09 11:26:43.329790,1,,,0.0,18,,0.0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,pgbkllbw,,,,,0
19,5w4txb5d,,1,49,48,postgame_survey,Redirect,2022-10-09 11:26:43.344293,1,,,0.0,19,,0.0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,pgbkllbw,,,,,0
20,jnf6ztvh,,1,49,48,postgame_survey,Redirect,2022-10-09 11:26:43.358796,1,,,0.0,20,,0.0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,pgbkllbw,,,,,0
